DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010573,Newfoundland & Labrador,-0.3552,0.40439,-0.41132,-0.12071,3,Dimension 2
10010574,Newfoundland & Labrador,-0.35647,0.54609,-0.67794,-0.16277,2,Dimension 2
10010575,Newfoundland & Labrador,-0.3821,0.36096,0.71261,0.23049,4,Dimension 3
10010576,Newfoundland & Labrador,-0.52815,0.61408,0.69847,0.26147,4,Dimension 3
10010577,Newfoundland & Labrador,-0.24183,0.70079,-0.31452,0.04815,3,Dimension 2
10010578,Newfoundland & Labrador,-0.58708,0.23222,-0.05122,-0.13536,3,Dimension 2
10010579,Newfoundland & Labrador,-0.4358,0.62221,-0.53613,-0.11658,3,Dimension 2
10010580,Newfoundland & Labrador,-0.27889,0.20979,0.21733,0.04941,3,Dimension 3
10010581,Newfoundland & Labrador,-0.37756,0.02298,-0.12637,-0.16032,2,Dimension 2
10010582,Newfoundland & Labrador,-0.90164,0.22423,0.38472,-0.09756,3,Dimension 3
10010583,Newfoundland & Labrador,-0.64972,0.07554,0.20221,-0.12399,3,Dimension 3
10010584,Newfoundland & Labrador,-0.9222,0.41089,0.29125,-0.07335,3,Dimension 2
10010585,Newfoundland & Labrador,-1.09954,0.58505,0.13523,-0.12642,3,Dimension 2
10010586,Newfoundland & Labrador,-0.26989,-0.188,0.48533,0.00914,3,Dimension 3
10010587,Newfoundland & Labrador,-0.54376,0.85524,-0.88847,-0.19233,2,Dimension 2
10010588,Newfoundland & Labrador,-0.8014,0.28469,-0.44099,-0.31923,2,Dimension 2
10010589,Newfoundland & Labrador,-0.15024,0.24707,0.49301,0.19662,4,Dimension 3
10010590,Newfoundland & Labrador,0.01841,0.24545,-0.21407,0.0166,3,Dimension 2
10010591,Newfoundland & Labrador,-0.48148,0.30701,-1.00807,-0.39418,2,Dimension 2
10010592,Newfoundland & Labrador,-0.68131,1.02421,0.03779,0.1269,3,Dimension 2
10010593,Newfoundland & Labrador,-0.23002,0.9202,0.50875,0.39965,4,Dimension 2
10010594,Newfoundland & Labrador,-0.55702,0.98015,0.88595,0.43636,4,Dimension 2
10010595,Newfoundland & Labrador,-0.13484,0.80486,0.90991,0.52664,4,Dimension 3
10010596,Newfoundland & Labrador,-0.4002,0.7014,0.77582,0.359,4,Dimension 3
10010597,Newfoundland & Labrador,-0.19773,0.92058,-0.05447,0.22279,4,Dimension 2
10010598,Newfoundland & Labrador,-0.41901,0.22639,0.13318,-0.01982,3,Dimension 2
