DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010627,-0.85003,0.88491,0.20476,0.34024,0.14497,4,Dimension 2
10010628,-0.77387,0.20213,0.49563,0.12157,0.01137,3,Dimension 3
10010629,-0.75209,0.18603,-0.18909,0.44952,-0.07641,3,Dimension 4
10010630,-1.20389,-0.27694,0.23575,-0.25957,-0.37616,2,Dimension 3
10010631,-0.34313,0.03875,0.00074,2.1284,0.45619,5,Dimension 4
10010632,-0.8389,0.4281,-0.05814,0.30576,-0.0408,3,Dimension 2
10010633,-0.9474,-0.21187,-0.17064,0.17486,-0.28876,2,Dimension 4
10010634,-0.7029,-0.62816,0.37064,0.7135,-0.06173,3,Dimension 4
10010635,-0.83928,0.36294,-0.06619,0.17606,-0.09162,3,Dimension 2
10010636,-0.89567,-0.11255,0.01953,0.16908,-0.2049,2,Dimension 4
10010637,-1.01464,-0.48254,-0.39518,0.70322,-0.29729,2,Dimension 4
10010638,-0.76837,0.40119,-0.05909,0.11073,-0.07888,3,Dimension 2
10010639,-0.45391,-0.67212,-0.16928,0.84259,-0.11318,3,Dimension 4
10010640,-0.85137,0.2781,-0.17687,-0.34931,-0.27486,2,Dimension 2
10010641,-1.04922,0.47436,-0.83909,0.89812,-0.12896,3,Dimension 4
10010642,-0.71716,0.4061,0.3222,0.59925,0.1526,4,Dimension 4
10010643,-0.49151,0.95237,0.29997,1.09023,0.46277,5,Dimension 4
10010644,-0.6283,-0.88198,-0.11249,-0.09858,-0.43034,2,Dimension 4
10010645,-0.94918,0.44284,0.17084,-0.38179,-0.17932,3,Dimension 2
10010646,-0.11076,1.55849,1.20381,0.80976,0.86532,5,Dimension 2
10010647,-0.25123,0.86778,0.13923,0.40606,0.29046,4,Dimension 2
10010648,-0.90088,-0.39795,0.13448,0.24659,-0.22944,2,Dimension 4
10010649,-0.85061,0.26094,-0.19506,0.70665,-0.01952,3,Dimension 4
10010650,-0.58689,1.10208,0.26779,0.13336,0.22908,4,Dimension 2
10010651,-0.91422,-0.4801,-0.37137,0.87194,-0.22344,2,Dimension 4
10010652,-0.36673,-0.50929,1.01663,1.25307,0.34842,4,Dimension 4
10010653,-1.04879,0.06227,-0.27821,1.59285,0.08203,4,Dimension 4
10010654,-0.86371,-0.77318,0.19949,0.03036,-0.35176,2,Dimension 3
10010655,-0.88559,0.3941,-0.22246,-0.39004,-0.276,2,Dimension 2
10010656,-0.85272,0.10447,-0.09968,-0.09358,-0.23538,2,Dimension 2
10010657,-0.63148,0.05821,1.27183,0.07166,0.19256,4,Dimension 3
10010658,-0.15888,0.92262,0.80061,0.5878,0.53804,5,Dimension 2
10010659,-1.16227,-0.23751,-0.36248,0.052,-0.42757,2,Dimension 4
10010660,-0.27415,-0.18636,0.08975,0.3374,-0.00834,3,Dimension 4
10010661,-0.98783,-0.7875,-0.37594,-0.13883,-0.57253,1,Dimension 4
10010662,-0.86469,0.28174,-0.15753,-0.30287,-0.26083,2,Dimension 2
10010663,-0.84218,-0.25268,-0.67588,-1.60627,-0.84425,1,Dimension 2
10010664,-1.16278,-0.03079,-0.04628,-0.89351,-0.53334,1,Dimension 2
10010666,-1.18492,-0.53326,0.22954,-0.81176,-0.5751,1,Dimension 3
10010667,-1.11313,-1.46253,-0.48881,-0.00423,-0.76717,1,Dimension 4
10010668,-0.83722,-0.25411,-0.18197,-0.38313,-0.41411,2,Dimension 3
10010669,-0.79901,-0.04538,0.04468,-0.15299,-0.23818,2,Dimension 3
10010670,-0.84249,-0.0246,-0.13628,-0.18648,-0.29746,2,Dimension 2
10010671,-0.82056,-0.68619,0.21944,0.49303,-0.19857,3,Dimension 4
10010672,-0.9205,0.55552,-0.02654,-0.7472,-0.28468,2,Dimension 2
10010673,-0.67912,1.58512,0.1332,0.11694,0.28904,4,Dimension 2
10010674,-0.9269,0.35543,-0.23242,-0.07651,-0.2201,2,Dimension 2
10010675,-0.51811,1.13411,-0.33138,-0.27268,0.00298,3,Dimension 2
10010676,-0.83028,0.1264,0.21887,-0.30245,-0.19686,3,Dimension 3
10010677,-0.46819,-0.43038,1.04538,1.02349,0.29258,4,Dimension 3
10010678,-0.6869,0.39865,0.53186,-0.47332,-0.05743,3,Dimension 3
10010679,-0.83798,0.37824,-0.24287,0.11936,-0.14581,3,Dimension 2
10010680,-0.93763,-0.36159,0.07099,0.39574,-0.20812,2,Dimension 4
10010681,-0.86907,1.09036,0.42759,-0.43684,0.05301,4,Dimension 2
